järjestys,id,slides,etape,placename fi,placename en,time en,narrator,receiver,narratortxt fi,narratortxt en,fulltext fi,konekäännös,fulltext en,txtlength,source,page,fileid,imagefilename,tech-temp,folder,technique,imagecreator en,kuvan nimi tai kuvateksti fi,image title or caption en,imageyear,collection en,imgorigurl,photographer en,license
11,11,,nairobi,Nairobi,Nairobi,June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Pääkatu kulki silloin kaupungin päästä toiseen: asemalta hienoon Norfolk-hotelliin, ja sitten alkoi valtamaantie erämaan halki Fort-Hallin linnoitukseen. Katua reunustivat korkeat eukalyptuspuut; niiden tuoksu sekoittui paikallisten punamullasta ја lampaanhäntärasvasta valmistetun ihorasvan hajuun. Tämä eltaantunut haju oli koko Kenian seudulle ominainen, äidistä kauhea, meistä lapsista ihana.","The main street going through the motions when the city end to the other: from the station fine-Norfolk hotel, and then began the power to the road through the wilderness Fort-Hall's fortress. Street flanked by tall eucalyptus trees; the scent mixed with the local soil red ја odor produced from sheep's tail fat ointments. This was the rancid smell of the whole region of Kenya characteristic, terrible mother, us kids lovely.",,396,tropiikki,296,kg02,,oil on canvas,,oil on wood,Akseli Gallen-Kallela,Nairobin ulkopuolelta,Outside Nairobi,1909–1910,Finnish National Gallery,http://kokoelmat.fng.fi/app?lang=fi&si=http%3A%2F%2Fkansallisgalleria.fi%2FTeos_64865AFD-05DC-483B-A692-8B9264133998,"Finnish National Gallery / Aaltonen, Hannu",
12,12,,nairobi,Nairobi,Nairobi,June 1909,akseli,,Akseli kertoo kirjassaan,,"Pice on siis rahaa. Ei ole helppo asia käsitellä tällaisia rahoja, joita lasketaan sekä vanhoilla että uusilla laskutavoilla. 
Yksi pice on 2 senttiä ja kaksi pice'iä on 3 senttiä, mutta kolme pice'iä 5 senttiä, 100 senttiä on rupia ja yksi rupia 16 annaa. Yksi annas taaskin 6 pice’iä. Voiko kukaan ymmärtää tähän sisältyvää järjenjuoksua? Tulos on joka tapauksessa se, että herrasmies, ts. ostaja, joutuu aina tappiolle. Rupia vastaa arvoltaan 1:80 kultaa, mutta sitä käsitellään niinkuin markkaa. Kaiken tarkoituksena on lähimmäisen häikäilemätön ja säälimätön nylkeminen.","Pice is, therefore, money. It is not an easy thing to deal with such funds, which are calculated from both old and new ways to decrease.
One pice has two cents and two pice'iä is 3 centimeters, but three pice'iä five cents, 100 cents is one scabs and scabs 16 Anna. One of the six annas again pice'iä. Can anyone understand the reason of runs for this contained? The result is, in any case, the gentleman, ie. Purchaser will always be negative. Scabs corresponds to a value of 1:80 of gold, but it is treated as a mark. Overall, the purpose is your neighbor ruthless and relentless skinning.",,575,afrikka,46,eph04,annastocents.png,repro,Kuvat,card,,,,,,,,
13,13,,nairobi,Nairobi,Nairobi,June 1909,,,,,,#VALUE!,,0,,,D-DEP-Paivalepo,D-DEP-Paivalepo.tif,oil on canvas,Käyttökuvat,"oil on canvas, mounted on cardboard",Akseli Gallen-Kallela,Päivälepo,,1909,Private collection,,Jukka Paavola,
14,14,,brickhouse,"Brickhouse, Nairobi","Brickhouse, Nairobi",June 1909,kirsti,,Kirsti kertoo kirjassaan,,"Saimme oman kodin Nairobin ulkopuolelta aron reunalta. Talo tunnettiin nimellä Brickhouse ja sen ohi kulki maantie, jota pitkin solui ainainen ihmisvirta tanssien ja laulaen. Joskus etenivät härkävankkurit hitaasti pölyisellä tiellä tai hindujen kamelit tuoden kuomuvaunuissa tavaroita Fort-Hallista, jossa oli primitiivinen sokeritehdas.","We received your home from the outside of Nairobi edge of the steppe. The house was known as the Brick House and it went past the road, along which solui constant flow of people dancing and singing. Sometimes oxcart progressed slowly on the dusty road, or Hindu, bringing camels kuomuvaunuissa goods Fort-Hall, which was the primitive sugar factory.",,338,tropiikki,300,IX 007,,watercolour / black & white photo,Kuvat,,Akseli Gallen-Kallela,,,,Private collection,,,
15,16,,brickhouse,"Brickhouse, Nairobi","Brickhouse, Nairobi",June 1909,akseli,,Akseli kertoo kirjassaan,,"Päivän laskettua olen lämpöisestä pimeydestä kuullut outoja huilun säveliä. Ohikulkevat kulit niitä puhaltavat: kauas kantavia mollisävelmiä, joita milteipä koulutetun tapainen laulu säestää. Pohjatonta surumielisyyttä hopeanhelein toivonvälähdyksin ikivanhan, sumentuneen sivistyksen taustaa vasten.","Warm days, calculated from the darkness, I heard strange flute melodies. Passers Kulit blowing them: far-supporting minor melodies that almost a trained vocal-like chime. Profound sadness hopeanhelein toivonvälähdyksin ancestral, a blurred background of civilization.",,300,afrikka,28,gkm125,gkm125.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Portti Nairobin-kodissa (Härkävaunut Nairobin tiellä),Gate at the Home in Nairobi (Oxcarts on the Nairobi Road),1909‒1910,Private collection,,Douglas Sivén,
16,17,,brickhouse,"Brickhouse, Nairobi","Brickhouse, Nairobi",June 1909,akseli,,Akseli kertoo kirjassaan,,"Syödessämme auringonlaskun jälkeen parvekkeella päivällistä lampunvalossa ja tuhansien perhosten ja muiden hyönteisten pyrynä kirmaillessa ympärillämme näemme Etelän ristin kohottavan toista käsivarttaan näkymättömän Kilima-Ndžaron takaa, ja Orion riippuu aivan keskitaivaalla, kuin kruununa taivaan katossa. Linnunrata sakenee paikoin loistavaksi pilveksi, ja Skorpioni koukistaa sakaransa sen puhki. Vielä elävämmin ja kipenöivämmin kuin kotona 30 asteen pakkasella tähdet täällä tuikkivat ja kimaltelevat, sillä olemmehan 5375 jalkaa merenpinnan yläpuolella.","Ate after sunset dinner on the balcony in the light of the lamp and thousands of butterflies and other insects pyrynä one cruises around us we see the Southern Cross uplifting the second arm of the invisible Kilima-Ndžaron guarantees, and Orion will depend on the very middle of the sky, the roof of heaven crowned. The Milky Way thickens into cloud brilliant in some places, and Scorpio bend sakaransa it through. Even more vividly than at home and kipenöivämmin 30 degrees below zero here in the stars twinkling and glittering, for we are 5375 feet above sea level.",,561,afrikka,16–17,gkm136,gkm136.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Etelän risti Afrikan taivaalla,The Southern Cross over Africa,1909,Private collection,,Douglas Sivén,
17,18,,brickhouse,"Brickhouse, Nairobi","Brickhouse, Nairobi",June 1909,akseli,,Akseli kertoo kirjassaan,,"Valtava kuunkiekko nousee aavikon ulapalta, jota kulo on jo polttanut useita päiviä. Punaista kuuta vasten tuli näyttää valkoiselta. Rätisten ja viuhuen tulee siinä nälkäinen loimottava juova taloamme kohti runsaan ampumamatkan päässä. Mutta tänne saakka se ei pääsekään, sillä yö on kostea ja tuuli taintuu. Kuulemme yhä selvemmin kulopalon rätinän, mutta rauhallisina käymme levolle, sillä onhan tupamme kivestä ja rautalevystä. Joka taholla näkyy joko liekehtivää tahi punoittavaa taivaanrantaa. Aikooko Afrikka palaa poroksi tänä yönä? Nairobin kaupunkikin on tuulen alla, mutta maantiehen, joka kulkee välillä, kulo rajoittuu.","A huge moon cake rises from the desert from the sea, which is already a wildfire burned for several days. moon against a red fire appears to be white. Rätisten and hurtle comes in hungry loimottava trace our house towards the rich shooting distance. But even until it can not get any, because the night is damp and the wind taintuu. We hear more and more clearly kulopalon crackle, but the calm we go to bed, because after all, tupamme stone and iron plate. On every side shows either flaming Or reddened the horizon. Will Africa burns down tonight? Nairobi is downwind, but the path that runs between a wildfire is limited.",,631,afrikka,17,gkm132,gkm132.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Ukamban aro palaa,The Veldt Ablaze at Ukamba,1909,Private collection,,Douglas Sivén,
18,19,,brickhouse,Nairobi,"Brickhouse, Nairobi",June 1909,akseli,,Akseli kertoo kirjassaan,,"Nyt on sadeaika saapunut tänne. Kaikki on kuin yhdellä iskulla muuttunut. Harmaan keltaisehko, kulloutunut aro välähti vihreäksi heti ensi sateen jälkeen. Ja heti alussa kohosi maasta niin suunnaton paljous kukkia, että koko lakeus muuttui kirjavaksi matoksi, ja nyt keinuu korkea ruoho kaikkialla tuulessa. Sammakot antavat iltakonsertteja kilpaa sirkkojen ja eräiden kummallisten hyönteisten kanssa, jotka kaiken yötä surisevat kuin voimakkaat sähkökoneet. Termiittejä lentää pilvittäin tuulen mukana ja tunkeutuu kaikkialle. Ne kattavat maan kuin valkoiset lumihiutaleet, ja niiden kintereillä seuraa kauniita lintuja, jotka ahmivat tätä mannaa.","Now is the time for the rain arrived here. Everything is like in one fell swoop changed. Yellowish gray, kulloutunut steppe flashed to green immediately after the first rain. And right at the beginning rose from the enormous quantity of flowers, the whole expanse of mottled turned into a mat, and now the high grass swaying in the wind everywhere. Frogs will give evening concerts vied with crickets and some weird and wonderful insects that buzz all night as the powerful electrical machines. Termites pilvittäin fly with the wind and penetrates everywhere. They cover the country than white snowflakes, and they follow the heels of beautiful birds that are eating this manna.",,648,afrikka,49,gkm126,gkm126.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Leiripaikka voi-safarilla,,1910,Private collection,,Douglas Sivén,
19,20,28,roosevelt,Nairobi,Nairobi,1909,akseli,,Akseli kertoo kirjassaan,,"Koputin oveen ja heti tuli vaaleanharmaapukuinen, lyhyt, nelikulmainen mies vastaan ja toivotti minut tervetulleeksi. Se oli Roosevelt. Hän oli juuri istunut oven vieressä olevan kirjoituspöytänsä ääressä ja arvattavasti kirjoitellut artikkelia Scribners magazine'iin. Niin nopeasti hän nousi, että viimeinen sana taisi jäädä vain 2½ dollarin arvoiseksi. 
– Hyvää päivää, mister Kalevala, sanoi hän. Olen iloinen tavatessani teidät; olen nähnyt teidän mielenkiintoisia töitänne.","I knocked on the door and immediately became a light gray suit, short, square man received and welcomed me. It was Roosevelt. He had just sat down next to the door to be writing at his desk and, predictably been writing articles Scribners magazine'iin. So he quickly rose to the last word would stay just 2½ dollars worth.
- Good day, mister Kalevala, he said. I am glad to meet you; I've seen your interesting doings.",,478,afrikka,59–60,eph05,TR_Scribners_Mag_Cover001.png,repro,Kuvat,magazine cover,,,"Cover of Scribner’s Magazine featuring Teddy Roosevelt’s trip to Africa. Scribner’s Magazine, Charles Scribner’s Sons Vol. XLVI Oct 1909",,,,,PD
20,21,29,roosevelt,Nairobi,Nairobi,1909,akseli,,Akseli kertoo kirjassaan,,"Hän lausui minulle muutamia kohteliaisuuksia kansanrunoaiheisista dekoratiivisista maalauksistani, mutta »modernia tyyliä», johon olin tehnyt eläin- ja luonnonharjoitelmani täällä, hän ei voinut ymmärtäen sulattaa – – – hän ei voinut hyväksyä yksilöllistä vapautta, jolla minä olin käsitellyt luonnonaiheita – erikoisesti oli kysymys seebraryhmästä arolla, jossa minä olin maalannut seebrojen mustat juovat aaltoilevina ja värisevinä, sillä tavoin kuin ne aron kuumassa ilmassa esiintyvät. Tätä hän ei pitänyt oikeutettuna maalaustapana.","He said to me a few compliments kansanrunoaiheisista Decorative paintings, but the ""modern style"", which I had made of animal and luonnonharjoitelmani here, he could not realizing digest - - - he could not accept individual freedom, which I was treated natural subjects - especially the question seebraryhmästä plains where I was painted black zebra stripes and undulating to vibrate in such a way as they appear in the steppe in hot air. This he did not consider legitimate the habit of painting.",,537,afrikka,60,gkm157,gkm157.tif,oil on canvas,Käyttökuvat,oil painting,Akseli Gallen-Kallela,Seeproja Nairobin arolla sadekauden jälkeen,Zebras,1909‒1910,Finnish National Gallery,http://kokoelmat.fng.fi/app?lang=fi&si=http%3A%2F%2Fkansallisgalleria.fi%2FTeos_B5D9DF50-8C07-4374-B425-7B7ED5D2660F,Douglas Sivén,
21,22,30,roosevelt,Nairobi,Nairobi,,akseli,,Akseli kertoo kirjassaan,,"Rooseveltin retkikunnan liikkuessa Athi-virran läheisissä vuoristoissa me saatoimme öisin selvästi nähdä hänen valtavat alueet valaisevat leiritulensa ylhäällä vuorilla. Kysymykseemme, mitähän ne tulet mahtoivat olla, kokkimme vastasi: se on the king of America ja hänen safaritulensa.","Roosevelt's expedition moving Athi-stream nearby mountainous areas at night we could clearly see his huge campfires illuminate areas up in the mountains. Your question, I wonder what they mahtoivat you will be, our chefs answered, it is the king of America and his safaritulensa.",,285,afrikka,58–59,web03,web03.jpeg,watercolour,Kuvat,watercolour,Akseli Gallen-Kallela,,The Plain of Donya Sabuk on Fire,1909,Private collection,http://www.the-athenaeum.org/art/detail.php?ID=57662,,
22,23,,assignment,Ukamba,"Brickhouse, Nairobi",August 1909,kirsti,,Kirsti kertoo kirjassaan,,"Luoksemme alkoi oikea kansainvaellus, kun Isä oli pyytänyt lomalle lähteviä palvelijoita tuomaan kotikylästään kaikenlaisia esineitä. Meille tuli miehiä tuoden keihäitä, kilpiä, miekkoja, rumpuja, kalebasseja ja soittimia, jotka Isä osti kokoelmiinsa. Kerran eräs ylväs somali-mies pysäytti Äidin ja minut Nairobiin menevän tien varrella sanoilla: ”Excuse me, ladies.” Hän oli hyvin kohtelias, mutta vähän hämillään kaupitellessaan kikuijunaisen pikkuriikkistä, sinisin helmin koristeltua nahkaista ”esiliinaa”.","International migration us started on the right when Dad was asked on vacation leaving his home village servants to bring all kinds of objects. For us men came, bringing with spears, shields, swords, drums, calabash and musical instruments that Dad bought their collections. Once a proud Somali-man stopped me and Mom's going to Nairobi on the road with the words: "". Excuse me, ladies,"" He was very polite, but a little embarrassed peddling kikuijunaisen pikkuriikkistä, ornamented with blue beads for leather ""apron"".",,511,muistelmat,51,GKM_VV_4203,GKM_VV_4203_1.png,photograph,Kuvat,photograph,Akseli Gallen-Kallela,Pihamaallamme käy kauppa,Commerce in our yard.,,Gallen-Kallela Museum,,Akseli Gallen-Kallela,
23,24,,assignment,,"Brickhouse, Nairobi",,gkm,,"Talouskirjaan kirjattiin kaikki raha-asiat. Palvelijoiden palkat, ruokaostokset tai maksetut korvaukset kokoelmiin ostettavista esineistä.",,,"Finances recorded in the Book of all financial affairs. Servers are not wages, grocery shopping or allowances paid to be purchased collections of objects.",,0,hushall,,eph06,,repro,Kuvat,diary,,,,,,,,
24,25,,assignment,,"Brickhouse, Nairobi",,gkm,,Akseli kirjoitti suomenruotsalaiseen Hufvudstadsbladetiin matkakertomusten sarjan.,,,Shaft wrote Finnish Swedish mobile Hufvudstadsbladet reports series.,,0,hbl,,eph07,,repro,Kuvat,newspaper article,,,,,,,,
25,26,,assignment,,"Brickhouse, Nairobi",,gkm,,Satiirilehti Fyrenissä Akselin kirjoituksesta tehtiin pilkkaversio:,,"En finsk Nimrod
eller Akseli Skaldén-Knallelas upplefvelser i Afrika
(Eftertryck förbjudes)
“Ekvatorn”, 37° ost om Greenish","Satire Magazine Fyrenissä shaft writing was pilkkaversio:
I do not finsk Nimrod
eller Akseli Skaldén-Knallelas upplefvelser i Afrika
(Eftertryck förbjudes)
""EKVATOR"", 37 ° ost om Greenish",,123,fyren,,eph08,,repro,Kuvat,caricature,,,,,,,,
26,27,,assignment,,"Brickhouse, Nairobi",,gkm,,Akseli toimitti eläinten nahkoja ja kalloja vasta perustettuun Eläintieteelliseen museoon Suomessa. Suurriistan metsästäminen oli luvanvaraista. Tieteellisiin tarkoituksiin tehtävää metsästystä ei rajoitettu eikä verotettu yhtä ankarasti.,,,"Shaft delivered skins and skulls of animals the newly founded zoological museum in Finland. the hunting of large game was subject to license. Hunting for scientific purposes, the task is not restricted and taxed as severely.",,238,ordinance,,eph09,,repro,Kuvat,,,,,,,,,
